Component,DATA-01,DATA-02,DATA-03,DATA-04,DATA-05
Component,"Analyzed value","Analyzed value","Analyzed value","Analyzed value","Analyzed value"
Total,885,885,885,885,885
H2O,99.5,99.1,98.8,98.9,98.7
Fe,2150,4780,8750,6450,8150
Si,1150,1400,845,1830,2280
Ca,654,731,1030,1010,1240
Cl,283,255,285,294,278
Zn,257,443,545,497,635
S,194,181,206,210,202
Ni,165,180,168,180,217
P,87.0,77.6,ND,ND,150
Mn,32.9,66.6,75.7,75.9,97.9
Cd,22.7,27.6,21.7,ND,ND
Cu,17.3,19.4,17.5,16.5,21.9
As,17.1,26.8,39.8,16.6,21.6
Pd,6.08,ND,ND,ND,ND
Co,ND,(10.1),(20.7),(12.6),(20.7)
Ag,(3.51),(2.43),(2.44),(3.52),ND
Pb,(3.46),ND,ND,ND,ND
Sr,2.16,2.16,3.31,3.51,5.40
Au,ND,ND,ND,ND,ND
Al,ND,708,ND,ND,ND
K,ND,ND,ND,ND,ND
Ti,ND,ND,ND,ND,ND
V,ND,ND,ND,ND,ND
Cr,ND,ND,ND,ND,ND
Se,ND,ND,ND,ND,ND
Br,ND,ND,ND,ND,ND
Rb,ND,ND,ND,ND,ND
Y,ND,ND,ND,ND,ND
Zr,ND,ND,ND,ND,ND
Mo,ND,ND,ND,ND,ND
Ru,ND,ND,ND,ND,ND
Rh,ND,ND,ND,13.5,19.0
Sn,ND,ND,ND,ND,ND
Sb,ND,ND,ND,ND,ND
Ba,ND,60.3,61.4,64.6,80.6
Pt,ND,ND,ND,ND,ND
Sc,ND,ND,ND,ND,ND
Na,ND,ND,ND,ND,ND
Mg,ND,ND,ND,ND,ND
